7zip 25.01-1
aalib 1.4rc5-19
abseil-cpp 20250814.0-1
acl 2.3.2-1
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.8-1
alsa-lib 1.2.14-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
aom 3.13.1-1
apparmor 4.1.2-1
appstream 1.0.6-1
appstream-glib 0.8.3-2
aquamarine 0.9.4-1
archlinux-keyring 20250807.1-1
at-spi2-core 2.56.4-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.5-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
babl 0.1.114-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bat 0.25.0-4
bc 1.08.2-1
binutils 2.45+r29+g2b2e51a31ec7-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-1
bluez 5.83-1
bluez-libs 5.83-1
bluez-utils 5.83-1
boost-libs 1.88.0-3
brightnessctl 0.5.1-3
broot 1.49.1-1
brotli 1.1.0-3
btop 1.4.4-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.116-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cava 0.10.4-3
cblas 3.12.1-2
cdparanoia 10.2-9
chromium 140.0.7339.127-1
clang 20.1.8-1
cmake 4.1.1-1
compiler-rt 20.1.8-1
coreutils 9.7-1
cpio 2.15-3
cppdap 1.58.0-2
cpupower 6.16-1
cryptsetup 2.8.1-1
cuda 12.9.1-2
cuda-tools 12.9.1-2
cudnn 9.11.0.98-3
curl 8.16.0-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-units 37-2
dconf 0.40.0-3
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.35-1
diffutils 3.12-2
dkms 3.2.1-1
dmidecode 3.6-1
dos2unix 7.5.2-2
double-conversion 3.3.1-1
duktape 2.7.0-7
dvisvgm 3.5-2
e2fsprogs 1.47.3-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2.1-1
egl-wayland 4:1.1.20-1
egl-x11 1.0.3-1
eglexternalplatform 1.2.1-1
eigen 3.4.0-2
ell 0.79-1
enchant 2.8.12-1
ethtool 1:6.15-1
exempi 2.6.6-2
exiv2 0.28.7-1
expat 2.7.1-1
fakeroot 1.37.1.2-1
fastfetch 2.52.0-1
fcft 3.3.2-1
ffcall 2.5-1
ffmpeg 2:7.1.1-5
fftw 3.3.10-7
file 5.46-5
filesystem 2025.05.03-1
findutils 4.10.0-3
flac 1.5.0-1
flex 2.6.4-5
fmt 11.2.0-1
fontconfig 2:2.17.1-1
freeglut 3.6.0-2
freetype2 2.14.1-1
fribidi 1.0.16-2
fuse-common 3.17.1-1
fuse3 3.17.1-1
fuzzel 1.13.1-1
gamemode 1.8.2-1
gawk 5.3.2-1
gc 8.2.8-2
gcc 15.2.1+r22+gc4e96a094636-1
